,watch_name,price,shipping_cost
1,ROLEX Oyster perpetual Watches 6517 Date Silver SilverDial Stainless Steel...,"$1,945.00",Free shipping
2,△ ROLEX Air king 14010M Finely Engine Turned Bezel Automatic Men's H#128599,"$2,849.40",Free shipping
3,New Listing2023 Premium Rolex Daytona Cosmogram 40mm 116520 Men's Watch 4130 Original,"$3,911.00",Free shipping
4,ROLEX Precision 9631 Cal.1300 Vintage white Dial Hand Winding Ladies_810080,$826.34,Free shipping
5,New ListingROLEX Oysterdate 6694 Manual Silver Dial Stainless Steel Bracelet Mens Watch,"$2,580.00",Free shipping
6,Another Heaven Disney Mickey Mouse Oyster Perpetual Watch Limited Rare Rolex,$143.00,Free shipping
7,New Listing tudor rolex ladies watch ,$412.70,$67.09 shipping
8,Rolex Datejust Mens SS Stainless Steel & 18K White Gold Silver Dial 1601,"$4,399.98",$60.00 shipping
9,"New ListingRolex 9K Rose Gold 1935 Art Deco Rare Enamel Dial Gents Vintage Watch, Serviced","$1,904.78",$63.49 shipping
10,Mens Rolex Date Stainless Steel Watch Engine-Turned Index Bezel Silver Dial 1501,"$3,357.98",$60.00 shipping
11,$9000 Rolex Datejust Pink MOP Diamond 18k Yellow Gold SS Ladies Watch SERVICED,"$3,250.00",$80.00 shipping
12,New ListingRolex Datejust 1601/4 Silver #K330,"$3,766.48",Free shipping
13,"New ListingRare 1960s Rolex """"Made in USA"""" Steel Jubilee Band BIG LOGO 20mm",$977.75,$53.29 shipping
14,Vintage Rolex Oyster Date PRECISION ref 6694 Year 52 Gold Shell Mechanical Watch,"$2,495.00",$20.00 shipping
15,ROLEX Oyster Date Precision 6694 Silver Dial Hand Winding Men's Watch E#130703,"$2,519.30",Free shipping
16,ROLEX Oyster Date Precision 6694 Number Hand Winding Men's Watch F#130255,"$1,959.30",Free shipping
17,"Rolex Oyster Precision 1953 Ref 6222 Gents 34mm, Rare Vintage Collectors Watch","$2,222.24",$63.49 shipping
18,ROLEX Oyster perpetual Watches 67180 pinkDial Stainless Steel Mechanical A...,"$2,344.00",Free shipping
19,New ListingRolex 1976 Precision Ref. 34.110 Very Rare Integrated Bracelet Caliber 1225 33mm,"$2,250.00",$80.00 shipping
20,Rolex gold mens watch oyster perpetual datejust 1989,"$5,100.00",$191.59 shipping
21,Rolex Datejust 41mm 1263XX Bezel Protector N225 ORIGINAL,$38.07,$19.58 shipping
22,Vintage ROLEX Oyster Precision 6410 Steel Hand-Winding Ladies Watch BF564348,"$1,247.40",Free shipping
23,New ListingROLEX SUBMARINER 16800 COMPLETE BOX FULL SET,"$1,631.40",Free shipping
24,Mens Rolex Day-Date President Solid 18K Yellow Gold Watch White Roman Dial 18038,"$13,999.98",$60.00 shipping
25,New ListingRolex Prima ‘Dibdin & Co’ 1926 Silver Ladies Vintage Collectors Watch Serviced,"$1,206.36",$63.49 shipping
26,Rolex Datejust Men Stainless Steel 18K White Gold Watch Silver Dial Brown 1601,"$3,955.98",$60.00 shipping
27,Rolex Datejust Mens Stainless Steel Watch 18K White Gold Bezel Silver Dial 1601,"$3,955.98",$60.00 shipping
28,△ ROLEX Oyster perpetual date 1500 vintage Automatic Men's H#128715,"$2,849.40",Free shipping
29,ROLEX Yacht Master Date Automatic Watch Stainless Steel Grey,"$5,737.00",Free shipping
30,ROLEX Oyster Perpetual Date 6516 cal.1161 Silver Dial Automatic Ladies_750431,"$1,527.68",Free shipping
31,ROLEX Oyster perpetual Watches 6517 Date cal.1161 Silver SilverDial Stainl...,"$1,815.00",Free shipping
32,Rolex Datejust Mens 2-tone Yellow Gold and Stainless Steel Champagne Dial 16013,"$4,981.98",$60.00 shipping
33,New ListingROLEX Oyster Perpetual 41mm Stainless Steel Black Dial 124300,"$8,030.00",Free shipping
34,Mens Rolex Submariner Date 18k Yellow Gold & Steel Watch Blue Dial Bezel 16613,"$10,999.98",$60.00 shipping
35,"New ListingVintage Rolex Tudor Mechanical watch,Cal.AS 1051,Working,Spares Repair",$44.44,$49.07 shipping
36,Vintage Rolex Bubbleback Chronometer Ref 2764 Year 42 Watch,"$2,995.00",$20.00 shipping
37,VERY NICE RARE VINTAGE TUDOR / ROLEX MEN'S WRISTWATCH,$598.18,$20.12 shipping
38,New ListingULTRA RARE VINTAGE ROLEX GMT-MASTER 16718 WATCH GUARANTEE N SERIAL + BOOKLET,"$1,087.60",$43.50 shipping
39,Rolex Date Ladies 2Tone Yellow Gold & Stainless Steel Watch Champagne Dial 6917,"$2,989.98",$60.00 shipping
40,New ListingROLEX Datejust 41mm Steel 18K Rose Gold Slate Dial 126301,"$12,830.00",Free shipping
41,Rolex Date 1500 Turquoise Stick Indexes Dial 34mm Watch - Smooth Bezel - Oyster,"$3,825.00",$150.00 shipping
42,Vtg Bucherer Watch Officially Certified Chronometer/Rolex Box & Collector Spoons,$850.00,$102.29 shipping
43,Rolex Date 15200 Stainless Steel Watch Oyster Band Sapphire Crystal Black Dial,"$4,507.98",$60.00 shipping
44,1966 Rolex Oyster Perpetual 6549 Boy Cal 1162 Anno Full Functioning,"$2,479.73",$108.76 shipping
45,"New ListingVintage Rolex Rolco Mechanical Limit III Dial watch,Cal.???,Spares Repair",$63.49,$49.71 shipping
46,Rolex Datejust Men Stainless Steel 18K White Gold Watch Jubilee Silver Dial 1601,"$4,415.98",$60.00 shipping
47,New ListingROLEX Lady Datejust Automatic Watch 279160 Stainless Steel Dark Grey,"$6,670.00",Free shipping
48,New ListingVintage Rolex Box From 80',$338.24,$19.58 shipping
49,Rolex Datejust 1601 Mens Stainless Steel 18K White Gold Watch Silver Dial Brown,"$4,041.98",$60.00 shipping
50,New ListingUSED ROLEX Oyster Perpetual 76080 Pink Dial Watch,"$2,938.00",Free shipping
51,New ListingRolex Oyster Perpetual 176200 Black #K351,"$3,328.98",Free shipping
52,Rolex  Geneve Super Slim/ 18K White Gold Case /Cal.650/ Hand-Winding Men's Watch,"$2,750.00",Free shipping
53,ROLEX Oyster Perpetual Watch 1024 Silver Dial Rare 231216T,"$2,625.60",$54.00 shipping
